Subject,Run Name,Green To Yellow,Yellow To Red,Red To Green,Accel Pedal Changed 10%,Accel Pedal Change Direction,First Stop Frame,Dist From Stop Line,Min Accel After Accel Pedal Change,Max Accel After Accel Pedal Change,Ov Vel at Green To Yellow,Ov Dist at Green to Yellow,Ov Vel at Stop Line,Frame at Stop Line,Vel at Yellow to Red,Event Id
Subj_001YM_,Run_001YM_D1HH_T1BOI,1185302,1186278,1187478,N,-1,1186642,28.31445313,-27.91561317,10.82727432,46.19691086,202.1835938,11.8878603,1188086,5.030041218,301
Subj_001YM_,Run_001YM_D1HH_T1BOI,1208975,1209799,1210999,N,1,1210995,12.359375,-19.54109192,12.95190144,49.52891159,220.6347656,6.784381866,1211443,16.42612457,304
Subj_001YM_,Run_001YM_D1HH_T1BOI,1262935,1263911,1265111,1263099,-1,1264847,3.861914062,-20.72642326,13.97981548,47.75735092,259.946875,4.366687775,1264511,14.93258572,306
Subj_001YM_,Run_001YM_D1HH_T1BOI,1290983,1291959,1293159,N,1,1291995,15.95727539,-20.39245224,14.52471066,32.82888031,140.3701172,9.979146004,1293639,0.865965903,310
Subj_001YM_,Run_001YM_D1HH_T1BOI,1353087,1354063,1355263,N,-1,1354955,7.706640625,-18.76860046,13.65361214,47.51271057,256.9683594,0.726490259,1354855,16.51457024,314
Subj_001YM_,Run_001YM_D1HH_T1BOI,1376415,1377391,1378591,N,1,1377519,17.64804688,-27.86719513,14.93698597,48.24260712,209.728125,10.99617958,1379171,4.991014481,317
Subj_001YM_,Run_001YM_D2HS_T2OBI,1637564,1638540,1639740,1637676,-1,1639440,9.59375,-18.37442207,13.25536346,46.48497391,252.7226563,3.960039616,1640128,15.14084148,301
Subj_001YM_,Run_001YM_D2HS_T2OBI,1666828,1667804,1669004,1666968,1,1667980,11.04257813,-28.04595757,13.50349998,43.1727829,187.4253906,5.831486225,1669428,5.96459341,305
Subj_001YM_,Run_001YM_D2HS_T2OBI,1721868,1722844,1724044,N,-1,1722932,10.8762207,-20.79821396,12.56495094,39.81036758,172.1142578,5.092823982,1724528,2.955529451,307
Subj_001YM_,Run_001YM_D2HS_T2OBI,1729436,1730412,1731612,N,1,1731484,10.17697754,-18.94937325,14.28159618,43.96802139,237.5105957,4.868796825,1732020,13.68059158,308
Subj_001YM_,Run_001YM_D2HS_T2OBI,1806320,1807296,1808496,N,-1,1807376,10.70898438,-27.7581749,10.74860859,47.29690552,204.8007813,4.612473011,1809032,4.319484234,313
Subj_001YM_,Run_001YM_D2HS_T2OBI,1834768,1835744,1836944,1834904,-1,1836196,5.683203125,-18.41359711,14.92745304,47.25121689,255.1636719,5.436878681,1836044,19.04387665,317
Subj_001YM_,Run_001YM_D3HF_T3IOB,2204299,2205275,2206475,N,-1,2205367,15.20703125,-23.17658424,14.98765373,46.20864868,200.53125,9.696454048,2207519,4.247600555,301
Subj_001YM_,Run_001YM_D3HF_T3IOB,2232979,2233955,2235155,N,-1,2234371,9.18515625,-21.75788307,13.12712765,44.46802902,240.2203125,3.507461786,2235507,18.9598484,305
Subj_001YM_,Run_001YM_D3HF_T3IOB,2307495,2308195,2309395,N,1,2308615,9.586181641,-19.3331852,13.87512398,45.65628433,175.6147461,3.980924606,2309927,20.00074577,310
Subj_001YM_,Run_001YM_D3HF_T3IOB,2315155,2316131,2317331,2315299,-1,2316183,17.11801758,-21.38517189,13.98363972,42.98682022,185.8572754,9.283480644,2317695,2.615432978,311
Subj_001YM_,Run_001YM_D3HF_T3IOB,2369371,2370347,2371547,2369475,-1,2370411,14.703125,-28.66038895,14.29866028,48.07616043,205.8222656,9.138669968,2372043,2.171275854,313
Subj_001YM_,Run_001YM_D3HF_T3IOB,2376395,2377371,2378571,2376643,-1,2377703,17.85703125,-27.8357048,14.49263954,48.5970192,262.1871094,10.7750721,2379175,12.69619083,314
Subj_001YM_,Run_001YM_FAMILIAR,717796,718772,719972,N,-1,-1,9999,-20.23758698,10.76010227,46.18927765,251.0640625,3.161717892,719924,12.49314499,300
Subj_001YM_,Run_001YM_FAMILIAR,744980,745956,-1,N,-1,-1,9999,-1.188245058,1.319798112,46.1006813,199.8105469,46.86129761,745664,46.71271896,304
Subj_001YM_,Run_001YM_FAMILIAR,791936,792900,792912,N,1,-1,9999,-5.868204117,2.664725542,50.48536682,273.106543,52.510952,792800,53.25796509,306
Subj_001YM_,Run_001YM_FAMILIAR,815408,816384,-1,816020,-1,-1,9999,-1.142782688,0.479934126,47.81362152,207.248291,48.76964569,816084,48.58493042,310
Subj_001YM_,Run_001YM_FAMILIAR,864413,865389,866589,N,1,-1,9999,-26.34821129,12.00140667,47.33534622,256.6421875,5.267524242,866577,11.86908817,312
Subj_001YM_,Run_001YM_FAMILIAR,890249,891225,-1,N,-1,-1,9999,-0.301753879,1.828382373,45.34145737,196.7753906,47.44947433,890921,48.198349,316
Subj_002YM_,Run_002YM_D1HH_T2OBI,3900328,3901304,3902504,N,-1,3902368,7.087890625,-19.21473885,13.26562881,44.38279724,241.1464844,1.812813401,3902204,12.3157835,301
Subj_002YM_,Run_002YM_D1HH_T2OBI,3926912,3927716,3927968,N,-1,-1,9999,-1.287662148,2.753749132,43.8168335,190.6050781,44.10884476,3927600,44.82323456,305
Subj_002YM_,Run_002YM_D1HH_T2OBI,3980328,3981304,3982504,N,-1,3982596,6.353759766,-23.03845978,12.61546612,44.54274368,192.4123535,0.977102101,3982068,6.589952946,307
Subj_002YM_,Run_002YM_D1HH_T2OBI,3987576,3988552,3989752,N,-1,3989844,5.991918945,-18.29097176,12.89201927,44.25914764,240.7114014,2.168299437,3989460,14.50438499,308
Subj_002YM_,Run_002YM_D1HH_T2OBI,4061397,4062373,4063573,N,-1,4062585,20.49804688,-24.79813957,13.39115429,48.20409775,209.6992188,11.66645145,4064261,6.425554752,313
Subj_002YM_,Run_002YM_D1HH_T2OBI,4088325,4089301,4090501,N,-1,4089697,16.41757813,-17.52178764,13.4184618,44.45318222,241.2691406,9.683927536,4091241,16.80023575,317
Subj_002YM_,Run_002YM_D2HF_T3IOB,4338701,4339677,4340877,N,-1,4340037,14.62890625,-19.29718018,12.25196266,44.74191284,194.1269531,8.3695755,4341409,8.175946236,301
Subj_002YM_,Run_002YM_D2HF_T3IOB,4365017,4365993,4367193,N,-1,4366245,3.155859375,-28.46398735,12.85443306,44.88401031,243.321875,9.400269508,4366069,15.21849728,305
Subj_002YM_,Run_002YM_D2HF_T3IOB,4439841,4440553,4441753,N,-1,4441153,13.61450195,-13.86120605,13.4359827,42.65823364,174.5803223,8.084251404,4442277,18.18875122,310
Subj_002YM_,Run_002YM_D2HF_T3IOB,4447321,4448297,4449497,N,1,4448421,4.784033203,-25.85965919,12.01095867,47.88905334,207.5542969,7.438015938,4448281,6.523194313,311
Subj_002YM_,Run_002YM_D2HF_T3IOB,4501873,4502849,4504049,N,-1,4503317,14.09570313,-19.11726761,13.09588623,40.95537567,177.7714844,8.177210808,4504565,6.781484127,313
Subj_002YM_,Run_002YM_D2HF_T3IOB,4508977,4509953,4511153,N,1,4510369,14.12851563,-18.63443947,13.00322247,45.51520157,247.8492188,8.000163078,4511845,17.43564415,314
Subj_002YM_,Run_002YM_D3HS_T1BOI,4782890,4783866,4785066,N,-1,4783990,10.74414063,-21.90179253,12.80889606,43.59441376,191.5097656,5.160132885,4785538,5.84986496,301
Subj_002YM_,Run_002YM_D3HS_T1BOI,4805146,4806002,4807202,N,-1,4807314,4.435546875,-18.41627121,13.15416718,46.60420609,220.2597656,3.944352865,4806998,14.50623989,304
Subj_002YM_,Run_002YM_D3HS_T1BOI,4858010,4858986,4860186,N,-1,4859594,12.01425781,-13.22804928,12.39972782,45.16030884,247.0665039,6.484845161,4860638,17.94175148,306
Subj_002YM_,Run_002YM_D3HS_T1BOI,4885650,4886626,4887826,N,-1,4886650,8.971435547,-27.27754974,13.92136478,41.34470749,175.7275391,3.070645809,4888242,1.140414238,310
